Type,Form,Sub-Category,Brand,Product Name,Price,Mo. Sales,Mo. Revenue,Rank,D. Sales,Date First Available,Reviews,Rating,ASIN,Link,Date Year,ASIN2,len,Mo_Revenue_Mln,Joints,Body,Digestive,Skin,Respiratore,Inner
Dogs,Fluid/Gel/Drops,Probiotics,Bene-Bac Plus,(3 pack) bene-bac plus probiotic pet gel 15g each x 3 syringes,27.68,551,15252,9285,18,3/12/2017,492,47,B06XK2699C,https://www.amazon.com/Pack-Bene-Bac-Plus-Probiotic-Syringes/dp/B06XK2699C/ref=zg_bs_3024222011_39?_encoding=UTF8&psc=1&refRID=J6X12FAA51FQK6Z3EEX8,2017,B06XK2699C,14,0.0153,,,Digestive,,,
Cats&Dogs,Oil,Fish Oil Supplements,Best Paw Nutrition,best paw nutrition pure alaskan salmon oil for dogs cats & ferrets - liquid supplement for joint pain relief - soft skin & shiny coat - omega 3 fish oil pets love - 8oz,19.95,261,5207,10920,15,2/9/2016 0:00,1070,44,B01BLPPCLO,https://www.amazon.com/Pure-Paw-Nutrition-Alaskan-Salmon/dp/B01BLPPCLO/ref=zg_bs_3024219011_79?_encoding=UTF8&psc=1&refRID=WERNG1P97E2ENEXSF2XR,2016,B01BLPPCLO,29,0.0052,Joint,,,Skin,,
Cats&Dogs,Oil,Fish Oil Supplements,Best Paw Nutrition,best paw nutrition pure alaskan salmon oil for dogs cats & ferrets - liquid supplement for joint pain relief - soft skin & shiny coat - omega 3 fish oil pets love - 32oz,34.95,358,12512,12559,12,2/9/2016 0:00,881,47,B018L0AWBC,https://www.amazon.com/Wild-Caught-Pure-Vitamins-Potassium-Antioxidants/dp/B018L0AWBC/ref=zg_bs_3024219011_89?_encoding=UTF8&psc=1&refRID=WERNG1P97E2ENEXSF2XR,2016,B018L0AWBC,29,0.0125,Joint,,,Skin,,
Dogs,Capsules,Herbal Supplements,BestLife4Pets,bestlife4pets breathe easy respiratory support for dogs - natural relief for kennel cough runny nose sneezing and sinus congestion - non-drowsy easy to use (450 pills),34.99,224,7838,25782,4,4/9/2020,398,4,B086YHKSJ7,https://www.amazon.com/BestLife4Pets-Breathe-Easy-Respiratory-Support/dp/B086YHKSJ7/ref=zg_bs_3024220011_67?_encoding=UTF8&psc=1&refRID=PCD7ZS98Y9T3XDB1RXNN,2020,B086YHKSJ7,22,0.0078,,,,,Respiratore,
Cats,Capsules,Herbal Supplements,BestLife4Pets,bestlife4pets immunity boost for cats supplement  helps your feline's respiratory and digestive system fight off colds and infections  all natural no fuss remedy (450 pills),29.99,75,2249,28000,4,4/8/2020,142,43,B086WYQBNF,https://www.amazon.com/Immunity-Boost-Cats-Supplement-Respiratory/dp/B086WYQBNF/ref=zg_bs_3024165011_24?_encoding=UTF8&psc=1&refRID=4V3AMF2SWS5E66ZK2F2K,2020,B086WYQBNF,22,0.0022,,,Digestive,,,
Cats&Dogs,Oil,Herbal Supplements,Billion Pets,billion pets - hemp oil for dogs and cats - hemp oil drops with omega fatty acids - hip and joint support and skin health,19.95,5363,106992,896,171,8/16/2019,15136,43,B07RDJ3L6M,https://www.amazon.com/Billion-Pets-Separation-Arthritis-Anti-Inflammatory/dp/B07RDJ3L6M/ref=zg_bs_2975397011_17?_encoding=UTF8&psc=1&refRID=HXB3T5C76A6Q89SE8TD9,2019,B07RDJ3L6M,27,0.107,Joint,,,Skin,,
Cats&Dogs,Oil,Fish Oil Supplements,Ruff 'n Ruffus,32 oz 100% wild caught alaskan salmon fish oil for dogs & cats + free travel bowl + free bone toy | support joint function immune & heart health | omega 3 +epa +dha for healthy skin & coat supplement,,217,0,26724,4,4/3/2019 0:00,1135,46,B07QF42X3J,https://www.amazon.com/Ruff-n-Ruffus-Salmon-Oil/dp/B07QF42X3J/ref=zg_bs_3024164011_25?_encoding=UTF8&psc=1&refRID=APM4JCST79161Q71H026,2019,B07QF42X3J,29,0,Joint,Body,,Skin,,
Dogs,Chews,Probiotics,BlueBiology,bluebiology canine probiotic - vet formulated probiotics for dogs - digestive & diarrhea support - all breeds - immune support - 60ct soft chew canine probiotic supplements,27.95,66,1845,24640,5,5/8/2020,52,41,B088C5CJQH,https://www.amazon.com/BlueBiology-Canine-Probiotic-Veterinarian-Supplements/dp/B088C5CJQH/ref=zg_bs_3024222011_82?_encoding=UTF8&psc=1&refRID=2TJFRW1HKSP6PRXS5R8H,2020,B088C5CJQH,14,0.0018,,,Digestive,,,
Cats&Dogs,Oil,Fish Oil Supplements,Bonnie and Clyde Pet Goods,bonnie & clyde wild omega 3 fish oil supplement for dogs & cats: natural vitamin e from sunflower ideal for skin coat and joint support - more epa & dha than salmon or krill oil,28.95,405,11725,14871,10,4/22/2015 0:00,837,45,B00WJ2WENI,https://www.amazon.com/Wild-Omega-Fish-Dogs-Supplement/dp/B00WJ2WENI/ref=zg_bs_3024219011_100?_encoding=UTF8&psc=1&refRID=WERNG1P97E2ENEXSF2XR,2015,B00WJ2WENI,29,0.0117,Joint,,,Skin,,
Cats&Dogs,Powder,Multivitamins,Solid Gold,solid gold seameal kelp-based supplement for skin & coat digestive & immune health in dogs & cats; natural holistic grain-free supplement,19.19,2241,43005,1540,112,4/27/2004,3001,45,B0002YFBF8,https://www.amazon.com/Solid-Gold-Kelp-Based-Supplement-Grain-Free/dp/B0002YFBF8/ref=zg_bs_2975397011_31?_encoding=UTF8&psc=1&refRID=HXB3T5C76A6Q89SE8TD9,2004,B0002YFBF8,22,0.043,,,Digestive,Skin,,
