form,function,month,revenue
Powder,Brain,oct,5.0862873765000005
Other,Brain,oct,0.11749649272727271
Gummy,Stress_Sleep,oct,4.150415554928571
Softgels,Stress_Sleep,oct,1.1980293677777778
Tablets,Stress_Sleep,oct,3.714807838757576
Capsules,Stress_Sleep,oct,16.59224210459452
Powder,Stress_Sleep,oct,4.404445266071428
Other,Stress_Sleep,oct,0.10121757
Gummy,Energy,oct,4.7632672665476194
Softgels,Energy,oct,4.382783786634199
Tablets,Energy,oct,7.807124343333334
Capsules,Energy,oct,28.385325942448773
Powder,Energy,oct,13.617336511197694
Other,Energy,oct,0.16259460666666667
Gummy,Body,oct,6.483889576828283
Softgels,Body,oct,25.60135813868506
Tablets,Body,oct,11.889305647050866
Capsules,Body,oct,62.71915815996392
Powder,Body,oct,16.29165572365837
Other,Body,oct,0.4029833231818182
Gummy,Weight_Mngm,oct,5.484827249242425
Softgels,Weight_Mngm,oct,2.3180601354761907
Tablets,Weight_Mngm,oct,4.314007955704546
Capsules,Weight_Mngm,oct,22.685657028513706
Powder,Weight_Mngm,oct,5.064138272477634
Other,Weight_Mngm,oct,0.3839110041666666
Gummy,Fitness,oct,1.7081428
Softgels,Fitness,oct,2.2777510698701295
Tablets,Fitness,oct,2.85768094
Capsules,Fitness,oct,10.858067743017315
Powder,Fitness,oct,13.21021056944589
Other,Fitness,oct,0.0809529
Gummy,Beauty,nov,5.174655
Softgels,Beauty,nov,4.687793425
Tablets,Beauty,nov,4.568486
Capsules,Beauty,nov,15.4115402
Powder,Beauty,nov,14.733605359999999
Other,Beauty,nov,0.100305
Gummy,Immune,nov,18.592702
Softgels,Immune,nov,7.827593215
Tablets,Immune,nov,9.593287
Capsules,Immune,nov,36.873136805
Powder,Immune,nov,6.537854
Other,Immune,nov,0.248223
Gummy,Digest,nov,8.034662
Softgels,Digest,nov,2.202324
Tablets,Digest,nov,4.9841319
Capsules,Digest,nov,41.069614304
Powder,Digest,nov,10.109794303333333
Other,Digest,nov,0.099411
Gummy,Joints,nov,5.187978589090909
Softgels,Joints,nov,7.56948112
Tablets,Joints,nov,11.4122289
Capsules,Joints,nov,30.977391069
Powder,Joints,nov,15.871975440000002
Other,Joints,nov,0.158181
Gummy,Brain,nov,2.948078
Softgels,Brain,nov,9.628870335
Tablets,Brain,nov,2.640166
Capsules,Brain,nov,21.495412055
Powder,Brain,nov,5.334369
Other,Brain,nov,0.279465
Gummy,Stress_Sleep,nov,6.636041
Softgels,Stress_Sleep,nov,2.075772
Tablets,Stress_Sleep,nov,8.13748892
Capsules,Stress_Sleep,nov,17.76761849777778
Powder,Stress_Sleep,nov,5.283021
Other,Stress_Sleep,nov,0.110838
Gummy,Energy,nov,5.385456
Softgels,Energy,nov,4.21893412
Tablets,Energy,nov,8.023731
Capsules,Energy,nov,29.926139342857144
Powder,Energy,nov,13.75798126
Other,Energy,nov,0.20785
Gummy,Body,nov,7.755559342222222
Softgels,Body,nov,25.194850414545453
Tablets,Body,nov,9.82299856
Capsules,Body,nov,63.3465602014026
Powder,Body,nov,15.278179879166666
Other,Body,nov,0.545976
Gummy,Weight_Mngm,nov,5.54732
Softgels,Weight_Mngm,nov,2.790147
Tablets,Weight_Mngm,nov,4.660628
Capsules,Weight_Mngm,nov,25.271491368571425
Powder,Weight_Mngm,nov,5.015065375
Other,Weight_Mngm,nov,0.398755
Gummy,Fitness,nov,1.774735
Softgels,Fitness,nov,1.752963
Tablets,Fitness,nov,3.915549
Capsules,Fitness,nov,11.20606918222222
Powder,Fitness,nov,14.254641185238095
Other,Fitness,nov,0.141258
Gummy,Beauty,dec,5.59123821047619
Softgels,Beauty,dec,5.546220073636364
Tablets,Beauty,dec,4.567709219999999
Capsules,Beauty,dec,15.788983426893939
Powder,Beauty,dec,13.926652485064935
Other,Beauty,dec,0.13852668795454545
Gummy,Immune,dec,19.281309224309528
Softgels,Immune,dec,6.709493609191919
Tablets,Immune,dec,10.088864015
Capsules,Immune,dec,42.42847214925396
Powder,Immune,dec,8.175835625555555
Other,Immune,dec,0.22107161666666666
Gummy,Digest,dec,8.06130164047619
Softgels,Digest,dec,2.423452595555556
Tablets,Digest,dec,4.659998483333333
Capsules,Digest,dec,45.862887814222226
Powder,Digest,dec,10.563282612753968
Other,Digest,dec,0.15028429
Gummy,Joints,dec,6.862135310476191
Softgels,Joints,dec,7.738403979999999
Tablets,Joints,dec,10.48145394818182
Capsules,Joints,dec,31.623580342251078
Powder,Joints,dec,15.339244906666666
Other,Joints,dec,0.14881004545454546
Gummy,Brain,dec,3.21095609
Softgels,Brain,dec,9.713915761030304
Tablets,Brain,dec,2.73470464
Capsules,Brain,dec,22.651520887636362
Powder,Brain,dec,4.302158504
Other,Brain,dec,0.14626667999999998
Gummy,Stress_Sleep,dec,7.699001894999999
Softgels,Stress_Sleep,dec,2.281527804545455
Tablets,Stress_Sleep,dec,6.7177635895
Capsules,Stress_Sleep,dec,18.84649568315801
Powder,Stress_Sleep,dec,5.349275442640692
Other,Stress_Sleep,dec,0.109165
Gummy,Energy,dec,5.085075541666667
Softgels,Energy,dec,4.76410751
Tablets,Energy,dec,7.05124974
Capsules,Energy,dec,30.084248219
Powder,Energy,dec,12.647803748321788
Other,Energy,dec,0.21430994
Gummy,Body,dec,8.637914630476192
Softgels,Body,dec,26.39376554775
Tablets,Body,dec,11.138804617999998
Capsules,Body,dec,69.13205458545636
Powder,Body,dec,14.94098386510606
Other,Body,dec,0.44021666666666665
Gummy,Weight_Mngm,dec,6.2170879
Softgels,Weight_Mngm,dec,2.67457524
Tablets,Weight_Mngm,dec,3.94955847
Capsules,Weight_Mngm,dec,25.285004984193723
Powder,Weight_Mngm,dec,5.754090865
Other,Weight_Mngm,dec,0.37869414
Gummy,Fitness,dec,2.0814883799999997
Softgels,Fitness,dec,1.88010224
Tablets,Fitness,dec,3.91624933
Capsules,Fitness,dec,11.799199053857143
Powder,Fitness,dec,13.888021533416666
Other,Fitness,dec,0.12444780999999999
Gummy,Beauty,jan,4.898945331714286
Softgels,Beauty,jan,5.216808296978354
Tablets,Beauty,jan,3.375926595833333
Capsules,Beauty,jan,13.675972445924602
Powder,Beauty,jan,13.4984278235
Other,Beauty,jan,0.13944386099999997
Gummy,Immune,jan,13.979081906
Softgels,Immune,jan,6.543904786682539
Tablets,Immune,jan,10.239334383666668
Capsules,Immune,jan,35.976812364777416
Powder,Immune,jan,11.983365339275974
Other,Immune,jan,0.20617845199999998
Gummy,Digest,jan,7.032756252380953
Softgels,Digest,jan,2.071778698787879
Tablets,Digest,jan,4.51880649
Capsules,Digest,jan,38.05337329536941
Powder,Digest,jan,10.971714780155844
Other,Digest,jan,0.16586
Gummy,Joints,jan,6.694635845714286
Softgels,Joints,jan,7.111339925894661
Tablets,Joints,jan,9.46931336
Capsules,Joints,jan,29.77022553902309
Powder,Joints,jan,16.465100886060608
Other,Joints,jan,0.103125
Gummy,Brain,jan,2.3454855257142855
Softgels,Brain,jan,8.108577766704546
Tablets,Brain,jan,2.56958902
Capsules,Brain,jan,21.250833754761903
Powder,Brain,jan,6.803411237944444
Other,Brain,jan,0.18372793166666668
Gummy,Stress_Sleep,jan,6.2172218
Softgels,Stress_Sleep,jan,2.13473685
Tablets,Stress_Sleep,jan,6.371400663249999
Capsules,Stress_Sleep,jan,16.227659452161614
Powder,Stress_Sleep,jan,5.6224620925
Other,Stress_Sleep,jan,0.16278547200000001
Gummy,Energy,jan,3.923231548571428
Softgels,Energy,jan,4.147435207996032
Tablets,Energy,jan,6.215124739583334
Capsules,Energy,jan,27.29742333929473
Powder,Energy,jan,21.726743922015874
Other,Energy,jan,0.32423521045238096
Gummy,Body,jan,6.689140387720057
Softgels,Body,jan,24.07741708500433
Tablets,Body,jan,11.884413107583335
Capsules,Body,jan,64.01867848800072
Powder,Body,jan,19.408176196092352
Other,Body,jan,0.6528833572857142
Gummy,Weight_Mngm,jan,4.31369767
Softgels,Weight_Mngm,jan,2.266609227113636
Tablets,Weight_Mngm,jan,3.8188462967261905
Capsules,Weight_Mngm,jan,21.985455802930375
Powder,Weight_Mngm,jan,8.940906216012989
Other,Weight_Mngm,jan,0.4274274
Gummy,Fitness,jan,1.4606149
Softgels,Fitness,jan,1.5798043700000002
Tablets,Fitness,jan,4.610827259416666
Capsules,Fitness,jan,13.981606593845239
Powder,Fitness,jan,29.770483298440116
Other,Fitness,jan,0.5784238108333333
Gummy,Beauty,feb,5.705934
Softgels,Beauty,feb,4.95857042
Tablets,Beauty,feb,3.0956134375
Capsules,Beauty,feb,13.907585
Powder,Beauty,feb,14.092508
Other,Beauty,feb,1.239548
Gummy,Immune,feb,16.08332103
Softgels,Immune,feb,8.24597242
Tablets,Immune,feb,8.664164620000001
Capsules,Immune,feb,36.741871904626265
Powder,Immune,feb,12.321431
Other,Immune,feb,1.381554
Gummy,Digest,feb,8.918589
Softgels,Digest,feb,2.1993544160000003
Tablets,Digest,feb,4.567709886666667
Capsules,Digest,feb,44.330452742
Powder,Digest,feb,13.3784846
Other,Digest,feb,0.415456
Gummy,Joints,feb,6.6183062800000005
Softgels,Joints,feb,8.251554
Tablets,Joints,feb,10.645196516666665
Capsules,Joints,feb,32.29955989244445
Powder,Joints,feb,17.862699
Other,Joints,feb,0.136347
Gummy,Brain,feb,2.71775706
Softgels,Brain,feb,8.41420138
Tablets,Brain,feb,2.868709
Capsules,Brain,feb,26.86807899827273
Powder,Brain,feb,8.702182
Other,Brain,feb,0.774406
Gummy,Stress_Sleep,feb,7.172366060000001
